"","phon","freq","freq_log10","nd","pp"
"15944","IH_N_S_T_AH_N_T_AE_N_IY_AH_S",1.1206069533254,0.326460181095508,0,0.0102448041264863
"15945","IH_N_S_T_AH_N_T_AE_N_IY_AH_S_L_IY",0.611240156359307,0.207160277109702,0,0.00943921591321801
"15946","IH_N_S_T_AH_N_T_L_IY",5.19554132905411,0.792079258403793,0,0.0123262247260083
"15947","IH_N_S_T_AH_T_UW_SH_AH_N",8.45548882963708,0.975683985907261,1,0.0107000316524414
"15948","IH_N_S_T_AH_T_UW_SH_AH_N_AH_L",2.34308726604401,0.524147713316086,1,0.0110459136242684
"15949","IH_N_S_T_AH_T_UW_SH_AH_N_AH_L_AY_Z_D",0.713113515752525,0.233786141501144,0,0.00908947693713423
"15950","IH_N_S_T_AH_T_UW_SH_AH_N_AH_L_IY",0.101873359393218,0.0421316830119709,1,0.010838713957062
"15951","IH_N_S_T_AH_T_UW_SH_AH_N_Z",12.0210564083997,1.11464622030952,1,0.010164104133952
"15952","IH_N_S_T_AH_T_UW_T",11.9191830490065,1.11123505169884,1,0.00784490320370481
"15953","IH_N_S_T_AH_T_UW_T_AH_D",0.91686023453896,0.282590447994732,0,0.00830368188444692
"15954","IH_N_S_T_AH_T_UW_T_IH_NG",0.101873359393218,0.0421316830119709,0,0.00885019905748468
"15955","IH_N_S_T_AH_T_UW_T_S",1.83372046907792,0.45235700726485,1,0.00768163678161838
"15956","IH_N_S_T_AO_L",3.56556757876262,0.659494775518104,3,0.00667003416016701
"15957","IH_N_S_T_AO_L_D",3.76931429754906,0.678455943359331,3,0.00599546595215213
"15958","IH_N_S_T_AO_L_ER_Z",0.101873359393218,0.0421316830119709,1,0.00565986101723439
"15959","IH_N_S_T_AO_L_IH_NG",1.1206069533254,0.326460181095508,1,0.00790413337414466
"15960","IH_N_S_T_AO_L_Z",0.305620078179653,0.115816820159466,3,0.00605541249673009
"15961","IH_N_S_T_EH_D",115.320642833123,2.06565679360185,0,0.00714085070076907
